taam,event_count,event_share,out_total,in_total,out_degree,in_degree,successor_entropy,successor_norm_entropy,predecessor_entropy,predecessor_norm_entropy,top_successor,top_successor_prob,top_predecessor,top_predecessor_prob,book,run_label,stream_type
atnah,1151,0.07122084,1151,1151,14,4,3.37225648,0.8857216,1.19753371,0.59876685,merkha,0.17028671,tipeha,0.53953084,numbers,explore_k3_7_edges20,core_projected
darga,237,0.01466493,237,237,5,10,0.88153221,0.37965526,2.85641497,0.85986659,tevir,0.83544304,atnah,0.24050633,numbers,explore_k3_7_edges20,core_projected
geresh,223,0.01379865,223,223,10,6,2.48538104,0.74817424,0.86760653,0.33563602,munah,0.30941704,qadma,0.84753363,numbers,explore_k3_7_edges20,core_projected
mahapakh,567,0.03508446,567,567,3,9,0.52163319,0.3291139,2.8599838,0.90222444,pashta,0.88712522,revia,0.19223986,numbers,explore_k3_7_edges20,core_projected
merkha,1854,0.11472062,1854,1854,6,11,1.41058819,0.54569,2.70567535,0.78211557,tipeha,0.57389428,tipeha,0.27454153,numbers,explore_k3_7_edges20,core_projected
meteg,2148,0.13291257,2148,2148,16,17,2.33105567,0.58276392,2.72761694,0.66731296,sof_pasuq,0.59729981,tipeha,0.37616387,numbers,explore_k3_7_edges20,core_projected
munah,1886,0.1167007,1886,1886,14,14,2.44719092,0.64275356,2.80194555,0.7359297,zaqef_qatan,0.40084836,pashta,0.2804878,numbers,explore_k3_7_edges20,core_projected
paseq,80,0.00495019,80,80,9,5,1.87095059,0.5902192,0.85371249,0.36767396,munah,0.6,munah,0.85,numbers,explore_k3_7_edges20,core_projected
pashta,1217,0.07530475,1217,1217,7,12,1.78409928,0.63550899,2.5719028,0.71741414,munah,0.43467543,mahapakh,0.41331142,numbers,explore_k3_7_edges20,core_projected
qadma,435,0.02691665,435,434,8,9,2.25811321,0.7527044,2.5281758,0.79755067,geresh,0.43448276,sof_pasuq,0.35714286,numbers,explore_k3_7_edges20,core_projected
revia,497,0.03075305,497,497,10,7,2.8662196,0.86281808,2.10846338,0.75104981,pashta,0.23943662,munah,0.53118712,numbers,explore_k3_7_edges20,core_projected
sof_pasuq,1284,0.07945053,1283,1284,14,2,3.30890976,0.86908361,0.00916555,0.00916555,munah,0.23850351,meteg,0.99922118,numbers,explore_k3_7_edges20,core_projected
telisha_qetana,88,0.00544521,88,88,2,8,0.26676499,0.26676499,2.37106234,0.79035411,qadma,0.95454545,sof_pasuq,0.38636364,numbers,explore_k3_7_edges20,core_projected
tevir,576,0.03564136,576,576,4,11,1.19320401,0.59660201,2.59568772,0.75032202,merkha,0.58854167,darga,0.34375,numbers,explore_k3_7_edges20,core_projected
tipeha,2435,0.15067137,2435,2435,5,10,1.97507855,0.85062003,2.27251324,0.68409465,meteg,0.33182752,merkha,0.43696099,numbers,explore_k3_7_edges20,core_projected
zaqef_gadol,126,0.00779655,126,126,8,5,1.35226673,0.45075558,1.75952984,0.75778826,tipeha,0.69047619,zaqef_qatan,0.35714286,numbers,explore_k3_7_edges20,core_projected
zaqef_qatan,1357,0.08396758,1357,1357,13,8,2.30693327,0.62342139,1.56915216,0.52305072,tipeha,0.44436256,munah,0.55711127,numbers,explore_k3_7_edges20,core_projected
