cadence_node,rank,predecessor,count,share_of_cadence_predecessors,book,run_label,stream_type
atnah,1,tipeha,808,0.55115962,genesis,control_exclude_external,full
atnah,2,munah,581,0.39631651,genesis,control_exclude_external,full
atnah,3,meteg,77,0.05252387,genesis,control_exclude_external,full
revia,1,munah,312,0.51147541,genesis,control_exclude_external,full
revia,2,meteg,119,0.19508197,genesis,control_exclude_external,full
revia,3,geresh,83,0.13606557,genesis,control_exclude_external,full
revia,4,atnah,63,0.10327869,genesis,control_exclude_external,full
revia,5,segol,14,0.02295082,genesis,control_exclude_external,full
revia,6,zaqef_qatan,11,0.01803279,genesis,control_exclude_external,full
zaqef_gadol,1,zaqef_qatan,60,0.34090909,genesis,control_exclude_external,full
zaqef_gadol,2,meteg,57,0.32386364,genesis,control_exclude_external,full
zaqef_gadol,3,atnah,55,0.3125,genesis,control_exclude_external,full
zaqef_qatan,1,munah,1159,0.61846318,genesis,control_exclude_external,full
zaqef_qatan,2,pashta,551,0.29402348,genesis,control_exclude_external,full
zaqef_qatan,3,meteg,126,0.06723586,genesis,control_exclude_external,full
zaqef_qatan,4,qadma,28,0.0149413,genesis,control_exclude_external,full
