taam,event_count,event_share,out_total,in_total,out_degree,in_degree,successor_entropy,successor_norm_entropy,predecessor_entropy,predecessor_norm_entropy,top_successor,top_successor_prob,top_predecessor,top_predecessor_prob,book,run_label,stream_type
atnah,813,0.07106022,813,813,14,4,3.22793524,0.84781569,1.22555816,0.61277908,merkha,0.22140221,tipeha,0.5399754,leviticus,explore_k3_7_edges20,core_projected
darga,171,0.01494625,171,171,4,9,0.60357799,0.30178899,2.82629513,0.89159685,tevir,0.89473684,qadma,0.22807018,leviticus,explore_k3_7_edges20,core_projected
geresh,174,0.01520846,174,174,8,6,2.33457393,0.77819131,0.84861413,0.32828876,munah,0.43103448,qadma,0.85632184,leviticus,explore_k3_7_edges20,core_projected
mahapakh,451,0.03941963,451,451,4,10,0.6279436,0.3139718,2.83862755,0.85451204,pashta,0.85587583,sof_pasuq,0.23281596,leviticus,explore_k3_7_edges20,core_projected
merkha,1373,0.12000699,1373,1373,6,12,1.40193783,0.54234358,2.73991155,0.764279,tipeha,0.58339403,tipeha,0.26948288,leviticus,explore_k3_7_edges20,core_projected
meteg,1453,0.12699939,1453,1453,16,17,2.40754451,0.60188613,2.77552321,0.67903326,sof_pasuq,0.58912595,tipeha,0.35375086,leviticus,explore_k3_7_edges20,core_projected
munah,1352,0.11817149,1352,1352,13,13,2.42804872,0.65615141,2.8416434,0.76792047,zaqef_qatan,0.42233728,pashta,0.29585799,leviticus,explore_k3_7_edges20,core_projected
paseq,54,0.00471987,54,54,10,5,1.43577233,0.43221054,0.79524744,0.34249443,munah,0.77777778,munah,0.87037037,leviticus,explore_k3_7_edges20,core_projected
pashta,900,0.07866445,900,900,7,11,1.76091501,0.62725058,2.57053922,0.74305247,munah,0.44444444,mahapakh,0.42888889,leviticus,explore_k3_7_edges20,core_projected
qadma,334,0.02919325,334,334,8,11,2.30052061,0.7668402,2.65125436,0.76638438,geresh,0.44610778,sof_pasuq,0.32934132,leviticus,explore_k3_7_edges20,core_projected
revia,312,0.02727034,312,312,10,7,2.92537905,0.88062684,1.8679551,0.66537903,pashta,0.22435897,munah,0.57051282,leviticus,explore_k3_7_edges20,core_projected
sof_pasuq,857,0.07490604,856,857,16,2,3.37744691,0.84436173,0.01305135,0.01305135,munah,0.2021028,meteg,0.99883314,leviticus,explore_k3_7_edges20,core_projected
telisha_qetana,71,0.00620575,71,71,2,6,0.18512476,0.18512476,1.96310391,0.75943226,qadma,0.97183099,sof_pasuq,0.47887324,leviticus,explore_k3_7_edges20,core_projected
tevir,416,0.03636046,416,416,3,8,1.17945146,0.74415102,2.4950298,0.8316766,merkha,0.57211538,darga,0.36778846,leviticus,explore_k3_7_edges20,core_projected
tipeha,1668,0.14579145,1668,1667,5,10,1.98824824,0.85629191,2.07382686,0.62428409,meteg,0.30815348,merkha,0.4805039,leviticus,explore_k3_7_edges20,core_projected
zaqef_gadol,55,0.00480727,55,55,5,4,1.88523484,0.81192645,1.64260181,0.82130091,tipeha,0.38181818,zaqef_qatan,0.43636364,leviticus,explore_k3_7_edges20,core_projected
zaqef_qatan,987,0.08626868,987,987,12,8,2.33594706,0.65159595,1.50038278,0.50012759,tipeha,0.43059777,munah,0.57852077,leviticus,explore_k3_7_edges20,core_projected
