cadence_node,rank,predecessor,count,share_of_cadence_predecessors,book,run_label,stream_type
atnah,1,tipeha,582,0.50696864,exodus,control_exclude_external,full
atnah,2,munah,515,0.44860627,exodus,control_exclude_external,full
atnah,3,meteg,48,0.04181185,exodus,control_exclude_external,full
revia,1,munah,263,0.51873767,exodus,control_exclude_external,full
revia,2,meteg,107,0.21104536,exodus,control_exclude_external,full
revia,3,geresh,64,0.12623274,exodus,control_exclude_external,full
revia,4,atnah,46,0.09072978,exodus,control_exclude_external,full
revia,5,zaqef_qatan,14,0.02761341,exodus,control_exclude_external,full
revia,6,segol,10,0.01972387,exodus,control_exclude_external,full
zaqef_gadol,1,zaqef_qatan,39,0.39393939,exodus,control_exclude_external,full
zaqef_gadol,2,atnah,37,0.37373737,exodus,control_exclude_external,full
zaqef_gadol,3,meteg,22,0.22222222,exodus,control_exclude_external,full
zaqef_qatan,1,munah,853,0.57713126,exodus,control_exclude_external,full
zaqef_qatan,2,pashta,447,0.30243572,exodus,control_exclude_external,full
zaqef_qatan,3,meteg,133,0.08998647,exodus,control_exclude_external,full
zaqef_qatan,4,qadma,22,0.01488498,exodus,control_exclude_external,full
zaqef_qatan,5,yetiv,9,0.00608931,exodus,control_exclude_external,full
zaqef_qatan,6,atnah,5,0.00338295,exodus,control_exclude_external,full
